ESIID,Start date,End date,Actual kWh,Metered KW,Metered KVA,Billed KW,Billed KVA,REV_TS
'10443720000724329,09/29/2020,10/28/2020,590,0,0,0,0,10/29/2020 09:55:07
'10443720000724329,10/28/2020,11/30/2020,586,0,0,0,0,12/01/2020 09:52:59
'10443720000724329,11/30/2020,12/29/2020,849,0,0,0,0,12/30/2020 09:52:50
'10443720000724329,12/29/2020,01/27/2021,916,0,0,0,0,01/28/2021 09:54:53
'10443720000724329,01/27/2021,02/26/2021,1413,0,0,0,0,02/27/2021 22:24:25
'10443720000724329,02/26/2021,03/10/2021,221,0,0,0,0,03/11/2021 09:53:07
'10443720000724329,03/10/2021,03/29/2021,358,0,0,0,0,03/30/2021 10:02:52
'10443720000724329,03/29/2021,04/28/2021,436,0,0,0,0,04/29/2021 09:52:55
'10443720000724329,04/28/2021,05/28/2021,592,0,0,0,0,05/29/2021 21:54:57
'10443720000724329,05/28/2021,06/29/2021,1025,0,0,0,0,06/30/2021 09:54:58
'10443720000724329,06/29/2021,07/30/2021,1275,0,0,0,0,07/31/2021 21:24:58
'10443720000724329,07/30/2021,08/30/2021,1122,0,0,0,0,08/31/2021 09:44:59
'10443720000724329,08/30/2021,09/29/2021,1015,0,0,0,0,09/30/2021 09:44:09
'10443720000724329,09/29/2021,10/28/2021,682,0,0,0,0,10/29/2021 09:44:59
'10443720000724329,10/28/2021,11/30/2021,622,0,0,0,0,12/01/2021 09:53:03
'10443720000724329,11/30/2021,12/29/2021,725,0,0,0,0,12/30/2021 09:45:08
'10443720000724329,12/29/2021,01/28/2022,1305,0,0,0,0,01/29/2022 21:24:54
'10443720000724329,01/28/2022,02/28/2022,1436,0,0,0,0,03/01/2022 09:45:07
'10443720000724329,02/28/2022,03/30/2022,831,0,0,0,0,03/31/2022 09:42:57
'10443720000724329,03/30/2022,04/29/2022,645,0,0,0,0,04/30/2022 21:24:54
'10443720000724329,04/29/2022,05/31/2022,991,0,0,0,0,06/01/2022 09:53:14
'10443720000724329,05/31/2022,06/29/2022,1280,0,0,0,0,06/30/2022 09:43:10
'10443720000724329,06/29/2022,07/29/2022,1406,0,0,0,0,07/30/2022 21:24:53
'10443720000724329,07/29/2022,08/30/2022,1361,0,0,0,0,08/31/2022 09:45:13
